aligned_id,status,tiff_name,tiff_time_iso,video_time_s,video_time,video_frame_index,thermal_source_path,thermal_tiff_path,thermal_png_path,video_png_path,overlay_png_path,visual_score,thermal_edge_density,video_edge_density,mask_80c_path,mask_positive_pixels,mask_positive_fraction
000001_20260227_023453,exported,20260227_023453.tiff,2026-02-27 02:34:53,67.83333333333337,00:01:07.833,2035,raw/thermal/20260227_023453.tiff,processed/aligned/000001_20260227_023453/thermal.tiff,processed/aligned/000001_20260227_023453/thermal.png,processed/aligned/000001_20260227_023453/video.png,processed/aligned/000001_20260227_023453/overlay.png,0.446515217423439,0.21717529296875,0.699542236328125,processed/aligned/000001_20260227_023453/mask_80c.png,0,0.0
000002_20260227_023454,exported,20260227_023454.tiff,2026-02-27 02:34:54,68.83333333333337,00:01:08.833,2065,raw/thermal/20260227_023454.tiff,processed/aligned/000002_20260227_023454/thermal.tiff,processed/aligned/000002_20260227_023454/thermal.png,processed/aligned/000002_20260227_023454/video.png,processed/aligned/000002_20260227_023454/overlay.png,0.5182284116744995,0.3315216064453125,0.710772705078125,processed/aligned/000002_20260227_023454/mask_80c.png,0,0.0
000003_20260227_023455,exported,20260227_023455.tiff,2026-02-27 02:34:55,69.83333333333337,00:01:09.833,2095,raw/thermal/20260227_023455.tiff,processed/aligned/000003_20260227_023455/thermal.tiff,processed/aligned/000003_20260227_023455/thermal.png,processed/aligned/000003_20260227_023455/video.png,processed/aligned/000003_20260227_023455/overlay.png,0.4959573522210121,0.2802398681640625,0.7224884033203125,processed/aligned/000003_20260227_023455/mask_80c.png,0,0.0
000004_20260227_023456,exported,20260227_023456.tiff,2026-02-27 02:34:56,70.83333333333337,00:01:10.833,2125,raw/thermal/20260227_023456.tiff,processed/aligned/000004_20260227_023456/thermal.tiff,processed/aligned/000004_20260227_023456/thermal.png,processed/aligned/000004_20260227_023456/video.png,processed/aligned/000004_20260227_023456/overlay.png,0.49278097599744797,0.265875244140625,0.73663330078125,processed/aligned/000004_20260227_023456/mask_80c.png,0,0.0
000005_20260227_023457,exported,20260227_023457.tiff,2026-02-27 02:34:57,71.83333333333337,00:01:11.833,2155,raw/thermal/20260227_023457.tiff,processed/aligned/000005_20260227_023457/thermal.tiff,processed/aligned/000005_20260227_023457/thermal.png,processed/aligned/000005_20260227_023457/video.png,processed/aligned/000005_20260227_023457/overlay.png,0.5323329120874405,0.3287200927734375,0.7432403564453125,processed/aligned/000005_20260227_023457/mask_80c.png,0,0.0
000006_20260227_023458,exported,20260227_023458.tiff,2026-02-27 02:34:58,72.83333333333337,00:01:12.833,2185,raw/thermal/20260227_023458.tiff,processed/aligned/000006_20260227_023458/thermal.tiff,processed/aligned/000006_20260227_023458/thermal.png,processed/aligned/000006_20260227_023458/video.png,processed/aligned/000006_20260227_023458/overlay.png,0.5406985133886337,0.350433349609375,0.7396697998046875,processed/aligned/000006_20260227_023458/mask_80c.png,0,0.0
000007_20260227_023459,exported,20260227_023459.tiff,2026-02-27 02:34:59,73.83333333333337,00:01:13.833,2215,raw/thermal/20260227_023459.tiff,processed/aligned/000007_20260227_023459/thermal.tiff,processed/aligned/000007_20260227_023459/thermal.png,processed/aligned/000007_20260227_023459/video.png,processed/aligned/000007_20260227_023459/overlay.png,0.5454753488302231,0.35352783203125,0.7398834228515625,processed/aligned/000007_20260227_023459/mask_80c.png,0,0.0
000008_20260227_023500,exported,20260227_023500.tiff,2026-02-27 02:35:00,74.83333333333337,00:01:14.833,2245,raw/thermal/20260227_023500.tiff,processed/aligned/000008_20260227_023500/thermal.tiff,processed/aligned/000008_20260227_023500/thermal.png,processed/aligned/000008_20260227_023500/video.png,processed/aligned/000008_20260227_023500/overlay.png,0.48969364166259766,0.2569610595703125,0.7337371826171875,processed/aligned/000008_20260227_023500/mask_80c.png,0,0.0
000009_20260227_023501,exported,20260227_023501.tiff,2026-02-27 02:35:01,75.83333333333337,00:01:15.833,2275,raw/thermal/20260227_023501.tiff,processed/aligned/000009_20260227_023501/thermal.tiff,processed/aligned/000009_20260227_023501/thermal.png,processed/aligned/000009_20260227_023501/video.png,processed/aligned/000009_20260227_023501/overlay.png,0.49990830570459366,0.2947235107421875,0.69664306640625,processed/aligned/000009_20260227_023501/mask_80c.png,0,0.0
000010_20260227_023502,exported,20260227_023502.tiff,2026-02-27 02:35:02,76.83333333333337,00:01:16.833,2305,raw/thermal/20260227_023502.tiff,processed/aligned/000010_20260227_023502/thermal.tiff,processed/aligned/000010_20260227_023502/thermal.png,processed/aligned/000010_20260227_023502/video.png,processed/aligned/000010_20260227_023502/overlay.png,0.48541516065597534,0.2788055419921875,0.6730621337890625,processed/aligned/000010_20260227_023502/mask_80c.png,0,0.0
000011_20260227_023503,exported,20260227_023503.tiff,2026-02-27 02:35:03,77.83333333333337,00:01:17.833,2335,raw/thermal/20260227_023503.tiff,processed/aligned/000011_20260227_023503/thermal.tiff,processed/aligned/000011_20260227_023503/thermal.png,processed/aligned/000011_20260227_023503/video.png,processed/aligned/000011_20260227_023503/overlay.png,0.5169165581464767,0.333660888671875,0.664544677734375,processed/aligned/000011_20260227_023503/mask_80c.png,0,0.0
000012_20260227_023504,exported,20260227_023504.tiff,2026-02-27 02:35:04,78.83333333333337,00:01:18.833,2365,raw/thermal/20260227_023504.tiff,processed/aligned/000012_20260227_023504/thermal.tiff,processed/aligned/000012_20260227_023504/thermal.png,processed/aligned/000012_20260227_023504/video.png,processed/aligned/000012_20260227_023504/overlay.png,0.5119439214468002,0.31142578125,0.682861328125,processed/aligned/000012_20260227_023504/mask_80c.png,0,0.0
000013_20260227_023505,exported,20260227_023505.tiff,2026-02-27 02:35:05,79.83333333333337,00:01:19.833,2395,raw/thermal/20260227_023505.tiff,processed/aligned/000013_20260227_023505/thermal.tiff,processed/aligned/000013_20260227_023505/thermal.png,processed/aligned/000013_20260227_023505/video.png,processed/aligned/000013_20260227_023505/overlay.png,0.5112691447138786,0.3002777099609375,0.7028167724609375,processed/aligned/000013_20260227_023505/mask_80c.png,694,0.002117919921875
000014_20260227_023506,exported,20260227_023506.tiff,2026-02-27 02:35:06,80.83333333333337,00:01:20.833,2425,raw/thermal/20260227_023506.tiff,processed/aligned/000014_20260227_023506/thermal.tiff,processed/aligned/000014_20260227_023506/thermal.png,processed/aligned/000014_20260227_023506/video.png,processed/aligned/000014_20260227_023506/overlay.png,0.502789668738842,0.2821990966796875,0.7095611572265625,processed/aligned/000014_20260227_023506/mask_80c.png,298,0.000909423828125
