aligned_id,status,tiff_name,tiff_time_iso,video_time_s,video_time,video_frame_index,thermal_source_path,thermal_tiff_path,thermal_png_path,video_png_path,overlay_png_path,visual_score,thermal_edge_density,video_edge_density,anchor_segment,anchor_requested_video_time_s,anchor_requested_video_time,anchor_selected_video_time_s,anchor_selected_video_time,anchor_center_tiff,mask_80c_path,mask_positive_pixels,mask_positive_fraction
000001_20260226_022627,exported,20260226_022627.tiff,2026-02-26 02:26:27,78.22191780821917,00:01:18.222,2347,raw/thermal/20260226_022627.tiff,processed/aligned/000001_20260226_022627/thermal.tiff,processed/aligned/000001_20260226_022627/thermal.png,processed/aligned/000001_20260226_022627/video.png,processed/aligned/000001_20260226_022627/overlay.png,0.1473860740661621,0.0,0.1803466796875,primary,83.0,00:01:23,83.23333333333333,00:01:23.233,20260226_022632.tiff,processed/aligned/000001_20260226_022627/mask_80c.png,0,0.0
000002_20260226_022628,exported,20260226_022628.tiff,2026-02-26 02:26:28,79.224200913242,00:01:19.224,2377,raw/thermal/20260226_022628.tiff,processed/aligned/000002_20260226_022628/thermal.tiff,processed/aligned/000002_20260226_022628/thermal.png,processed/aligned/000002_20260226_022628/video.png,processed/aligned/000002_20260226_022628/overlay.png,0.1258864551782608,0.000262451171875,0.0274993896484375,primary,83.0,00:01:23,83.23333333333333,00:01:23.233,20260226_022632.tiff,processed/aligned/000002_20260226_022628/mask_80c.png,0,0.0
000003_20260226_022629,exported,20260226_022629.tiff,2026-02-26 02:26:29,80.22648401826484,00:01:20.226,2407,raw/thermal/20260226_022629.tiff,processed/aligned/000003_20260226_022629/thermal.tiff,processed/aligned/000003_20260226_022629/thermal.png,processed/aligned/000003_20260226_022629/video.png,processed/aligned/000003_20260226_022629/overlay.png,0.21190156787633896,0.05938720703125,0.1777008056640625,primary,83.0,00:01:23,83.23333333333333,00:01:23.233,20260226_022632.tiff,processed/aligned/000003_20260226_022629/mask_80c.png,0,0.0
000004_20260226_022630,exported,20260226_022630.tiff,2026-02-26 02:26:30,81.22876712328767,00:01:21.229,2437,raw/thermal/20260226_022630.tiff,processed/aligned/000004_20260226_022630/thermal.tiff,processed/aligned/000004_20260226_022630/thermal.png,processed/aligned/000004_20260226_022630/video.png,processed/aligned/000004_20260226_022630/overlay.png,0.3802676722407341,0.1068145751953125,0.4850250244140625,primary,83.0,00:01:23,83.23333333333333,00:01:23.233,20260226_022632.tiff,processed/aligned/000004_20260226_022630/mask_80c.png,0,0.0
000005_20260226_022631,exported,20260226_022631.tiff,2026-02-26 02:26:31,82.2310502283105,00:01:22.231,2467,raw/thermal/20260226_022631.tiff,processed/aligned/000005_20260226_022631/thermal.tiff,processed/aligned/000005_20260226_022631/thermal.png,processed/aligned/000005_20260226_022631/video.png,processed/aligned/000005_20260226_022631/overlay.png,0.5223304703831673,0.279132080078125,0.6090728759765625,primary,83.0,00:01:23,83.23333333333333,00:01:23.233,20260226_022632.tiff,processed/aligned/000005_20260226_022631/mask_80c.png,0,0.0
000006_20260226_022632,exported,20260226_022632.tiff,2026-02-26 02:26:32,83.23333333333333,00:01:23.233,2497,raw/thermal/20260226_022632.tiff,processed/aligned/000006_20260226_022632/thermal.tiff,processed/aligned/000006_20260226_022632/thermal.png,processed/aligned/000006_20260226_022632/video.png,processed/aligned/000006_20260226_022632/overlay.png,0.46189992874860764,0.207220458984375,0.5414337158203125,primary,83.0,00:01:23,83.23333333333333,00:01:23.233,20260226_022632.tiff,processed/aligned/000006_20260226_022632/mask_80c.png,0,0.0
000007_20260226_022633,exported,20260226_022633.tiff,2026-02-26 02:26:33,84.23561643835616,00:01:24.236,2527,raw/thermal/20260226_022633.tiff,processed/aligned/000007_20260226_022633/thermal.tiff,processed/aligned/000007_20260226_022633/thermal.png,processed/aligned/000007_20260226_022633/video.png,processed/aligned/000007_20260226_022633/overlay.png,0.4980865567922592,0.2950592041015625,0.555572509765625,primary,83.0,00:01:23,83.23333333333333,00:01:23.233,20260226_022632.tiff,processed/aligned/000007_20260226_022633/mask_80c.png,0,0.0
000008_20260226_022634,exported,20260226_022634.tiff,2026-02-26 02:26:34,85.23789954337899,00:01:25.238,2557,raw/thermal/20260226_022634.tiff,processed/aligned/000008_20260226_022634/thermal.tiff,processed/aligned/000008_20260226_022634/thermal.png,processed/aligned/000008_20260226_022634/video.png,processed/aligned/000008_20260226_022634/overlay.png,0.5420022010803223,0.35985107421875,0.6112060546875,primary,83.0,00:01:23,83.23333333333333,00:01:23.233,20260226_022632.tiff,processed/aligned/000008_20260226_022634/mask_80c.png,0,0.0
000009_20260226_022635,exported,20260226_022635.tiff,2026-02-26 02:26:35,86.24018264840183,00:01:26.240,2587,raw/thermal/20260226_022635.tiff,processed/aligned/000009_20260226_022635/thermal.tiff,processed/aligned/000009_20260226_022635/thermal.png,processed/aligned/000009_20260226_022635/video.png,processed/aligned/000009_20260226_022635/overlay.png,0.5351805165410042,0.31939697265625,0.6369781494140625,primary,83.0,00:01:23,83.23333333333333,00:01:23.233,20260226_022632.tiff,processed/aligned/000009_20260226_022635/mask_80c.png,0,0.0
000010_20260226_022636,exported,20260226_022636.tiff,2026-02-26 02:26:36,87.24246575342465,00:01:27.242,2617,raw/thermal/20260226_022636.tiff,processed/aligned/000010_20260226_022636/thermal.tiff,processed/aligned/000010_20260226_022636/thermal.png,processed/aligned/000010_20260226_022636/video.png,processed/aligned/000010_20260226_022636/overlay.png,0.5464745908975601,0.33929443359375,0.6286712646484375,primary,83.0,00:01:23,83.23333333333333,00:01:23.233,20260226_022632.tiff,processed/aligned/000010_20260226_022636/mask_80c.png,0,0.0
